Name,Symbol
Astrazeneca,AZN
British American Tobacco,BTI
Arrival,ARVL
TSMC,TSM
Toyota,TM
Sony,SONY
Takeda Pharmaceutical,TAK
SAP,SAP
Siemens,SIEGY
Volkswagen,VOW3.DE
Allianz,ALIZF
Bayer,BAYZF
Adidas,ADDDF
BioNTech,BNTX
Deutsche Bank,DB
TotalEnergies,TTE
Sanofi,SNY
Alibaba,BABA
PetroChina,PTR
Baidu,BIDU
Li Auto,LI
Momo,MOMO
Apple,AAPL
Berkshire Hathaway,BRK-B
Alphabet (Google),GOOG
Microsoft,MSFT
Meta (Facebook),FB
Exxon Mobil,XOM
Verizon,VZ
AT&T,T
Chevron,CVX
Pfizer,PFE
Intel,INTC
Amazon,AMZN
UnitedHealth,UNH
Comcast,CMCSA
Goldman Sachs,GS
Home Depot,HD
Johnson & Johnson,JNJ
Walmart,WMT
Visa,V
Procter & Gamble,PG
Merck,MRK
Ford,F
Moderna,MRNA
AbbVie,ABBV
Cisco,CSCO
Pepsico,PEP
United Parcel Service,UPS
Coca-Cola,KO
Morgan Stanley,MS
ConocoPhillips,COP
American International Group,AIG
QUALCOMM,QCOM
Philip Morris,PM
CVS Health,CVS
General Motors,GM
Lowe's Companies,LOW
Mastercard,MA
Nucor,NUE
Oracle,ORCL
NVIDIA,NVDA
Micron Technology,MU
McDonald,MCD
Tesla,TSLA
Texas Instruments,TXN
Dow,DOW
Abbott Laboratories,ABT
Target,TGT
Anthem,ANTM
Caterpillar,CAT
BlackRock,BLK
HP,HPQ
Applied Materials,AMAT
Dell,DELL
3M,MMM
Nike,NKE
Netflix,NFLX
T-Mobile US,TMUS
Adobe,ADBE
IBM,IBM
Walt Disney,DIS
U.S. Steel,X
Lennar,LEN
Lam Research,LRCX
Tyson Foods,TSN
Occidental Petroleum,OXY
Devon Energy,DVN
PayPal,PYPL
AMD,AMD
Kraft Heinz,KHC
Westlake Chemical,WLK
NRG Energy,NRG
Colgate-Palmolive,CL
Coinbase,COIN
Best Buy,BBY
Activision Blizzard,ATVI
PulteGroup,PHM
Fox Corporation,FOX
Vmware,VMW
Consolidated Edison,ED
Snowflake,SNOW
W. R. Berkley,WRB
Alcoa,AA
Intuitive Surgical,ISRG
Ametek,AME
Mohawk Industries,MHK
Western Union,WU
Teradyne,TER
Tapestry,TPR
Zoom,ZM
Electronic Arts,EA
BorgWarner,BWA
Wells Fargo,WFC
Hasbro,HAS
Generac Power Systems,GNRC
Crocs,CROX
Take 2 Interactive,TTWO
PDC Energy,PDCE
Autodesk,ADSK
Schneider,SNDR
Whiting Petroleum,WLL
Albemarle,ALB
Dolby,DLB
First Solar,FSLR
Renewable Energy Group,REGI
Cohu,COHU
Block,SQ
Roku,ROKU
Corsair Gaming,CRSR
Revolve,RVLV
Apple Hospitality REIT,APLE
Livent,LTHM
Bank of America,BAC
Blackstone Group,BX
Chesapeake Energy,CHK
Alteryx,AYX
Rivian,RIVN
Roblox,RBLX
Snap,SNAP
