Name,Symbol,Sector,Industry
Apple,AAPL,Technology,Consumer Electronics
Microsoft,MSFT,Technology,Software—Infrastructure
Alphabet (Google),GOOG,Communication Services,Internet Content & Information
Amazon,AMZN,Consumer Cyclical,Internet Retail
Tesla,TSLA,Consumer Cyclical,Auto Manufacturers
Berkshire Hathaway,BRK-B,Financial Services,Insurance—Diversified
Meta (Facebook),FB,Communication Services,Internet Content & Information
NVIDIA,NVDA,Technology,Semiconductors
UnitedHealth,UNH,Healthcare,Healthcare Plans
Walmart,WMT,Consumer Defensive,Discount Stores
Procter & Gamble,PG,Consumer Defensive,Household & Personal Products
Exxon Mobil,XOM,Energy,Oil & Gas Integrated
Chevron,CVX,Energy,Oil & Gas Integrated
Bank of America,BAC,Financial Services,Banks Diversified
Coca-Cola,KO,Consumer Defensive,Beverages—Non-Alcoholic
Pfizer,PFE,Healthcare,Drug Manufacturers General
AbbVie,ABBV,Healthcare,Drug Manufacturers General
Pepsico,PEP,Consumer Defensive,Beverages—Non-Alcoholic
Broadcom,AVGO,Technology,Semiconductors
Merck,MRK,Healthcare,Drug Manufacturers General
Walt Disney,DIS,Communication Services,Entertainment
Cisco,CSCO,Technology,Communication Equipment
Abbott Laboratories,ABT,Healthcare,Medical Devices
Oracle,ORCL,Technology,Software Infrastructure
Verizon,VZ,Communication Services,Telecom Services
Nike,NKE,Consumer Cyclical,Footwear & Accessories
Adobe,ADBE,Technology,Software Infrastructure
McDonald,MCD,Consumer Cyclical,Restaurants
Comcast,CMCSA,Communication Services,Entertainment
Intel,INTC,Technology,Semiconductors
Wells Fargo,WFC,Financial Services,Banks Diversified
QUALCOMM,QCOM,Technology,Semiconductors
T-Mobile US,TMUS,Communication Services,Telecom Services
Texas Instruments,TXN,Technology,Semiconductors
AMD,AMD,Technology,Semiconductors
AT&T,T,Communication Services,Telecom Services
CVS Health,CVS,Healthcare,Healthcare Plans
IBM,IBM,Technology,Information Technology Services
Caterpillar,CAT,Industrials,Farm & Heavy Construction Machinery
Target,TGT,Consumer Defensive,Discount Stores
Netflix,NFLX,Communication Services,Entertainment
Intuitive Surgical,ISRG,Healthcare,Medical Instruments & Supplies
General Electric,GE,Industrials,Specialty Industrial Machinery
Micron Technology,MU,Technology,Semiconductors
Lam Research,LRCX,Technology,Semiconductor Equipment & Materials
Colgate-Palmolive,CL,Consumer Defensive,Household & Personal Products
Snowflake,SNOW,Technology,Software Application
Activision Blizzard,ATVI,Communication Services,Electronic Gaming & Multimedia
Moderna,MRNA,Healthcare,Biotechnology
FedEx,FDX,Industrials,Integrated Freight & Logistics
Kraft Heinz,KHC,Consumer Defensive,Packaged Foods
Vmware,VMW,Technology,Software Infrastructure
Autodesk,ADSK,Technology,Software Application
Tyson Foods,TSN,Consumer Defensive,Farm Products
Electronic Arts,EA,Communication Services,Electronic Gaming & Multimedia
Consolidated Edison,ED,Utilities,Utilities Regulated Electric
Coinbase,COIN,Technology,Software Application
Biogen,BIIB,Healthcare,Drug Manufacturers General
Rivian,RIVN,Consumer Cyclical,Auto Manufacturers
Fox Corporation,FOX,Communication Services,Broadcasting
Roblox,RBLX,Communication Services,Electronic Gaming & Multimedia
Alcoa,AA,Basic Materials,Aluminum
Roku,ROKU,Communication Services,Entertainment
Hasbro,HAS,Consumer Cyclical,Leisure
NRG Energy,NRG,Utilities,Independent Power Producers
Tapestry,TPR,Consumer Cyclical,Luxury Goods
Livent,LTHM,Basic Materials,Specialty Chemicals
SunPower,SPWR,Technology,Solar
